deathplaces appears as 1	primary heb full in Kima	times
Aachen (Germany)	אאכן (גרמניה)	1
Aarau (Switzerland)	אראו (שווייץ)	2
Aberdeen (Scotland)	אברדין (סקוטלנד)	1
Accra (Ghana)	אקרה (גאנה)	1
Acre (Israel)	עכו (ישראל)	9
Aden (Yemen)	עדן (תימן)	2
Afek (Israel)	אפק (ישראל)	1
Afikim (Israel)	אפיקים (ישראל)	9
Afula (Israel)	עפולה (ישראל)	4
Aix-les-Bains (France)	אקס לה בן (צרפת)	1
Alba Iulia (Romania)	אלבה יוליה (רומניה)	1
Albany (N.Y.)	אלבני (ניו יורק)	1
Albertirsa (Hungary)	אלברטירשה (הונגריה)	1
Albuquerque (N.M.)	אלבוקרקי (ניו מקסיקו)	1
Aleksandrów Łodzki (Poland)	אלכסנדר (פולין)	4
Aleppo (Syria)	חלב (סוריה)	45
Alexandria (Egypt)	אלכסנדריה (מצרים)	4
Algiers (Algeria)	אלג'יר (אלג'יריה)	10
Allon Shevut (West Bank)	אלון שבות (גדה מערבית)	1
Alonim (Israel)	אלונים (ישראל)	3
Altona (Germany)	אלטונה (גרמניה)	3
Alytus (Lithuania)	אליטא (ליטא)	1
Amagansett (N.Y.)	אמגנסט (ניו יורק)	1
Amherst (Mass.)	אמהרסט (מסצ'וסטס)	2
Amiens (France)	אמיין (צרפת)	1
Amsterdam (Netherlands)	אמסטרדם (הולנד)	54
Ancona (Italy)	אנקונה (איטליה)	6
Angers (France)	אנז'ה (צרפת)	1
Annecy (France)	אנסי (צרפת)	1
Annopol (Poland)	אנופול (פולין)	1
Ansbach (Mittelfranken, Germany)	אנסבך (גרמניה)	3
Antibes (France)	אנטיב (צרפת)	1
Antopalʹ (Belarus)	אנטופול (בלארוס)	1
Antwerp (Belgium)	אנטורפן (בלגיה)	9
Apeldoorn (Netherlands)	אפלדורן (הולנד)	1
Arad (Romania)	ארד (רומניה)	2
Arévalo (Spain)	ארבאלו (ספרד)	1
Argenta (Italy)	אריינטו (איטליה)	2
Argentina	ארגנטינה	2
Arizona	אריזונה	1
Arles (France)	ארל (צרפת)	1
Arta (Greece)	ארטה (יוון)	2
Artemivsʹk (Ukraine)	ארטמיבסק (אוקראינה)	2
Aschaffenburg (Germany)	אשפנבורג (גרמניה)	1
Ascona (Switzerland)	אסקונה (שווייץ)	1
Ashdod (Israel)	אשדוד (ישראל)	3
Ashdot Yaakov (Israel)	אשדות יעקב (ישראל)	7
Ashkelon (Israel)	אשקלון (ישראל)	4
Aspen (Colo.)	אספן (קולורדו)	1
Athens (Greece)	אתונה (יוון)	11
Atlanta (Ga.)	אטלנטה (ג'ורג'יה)	3
Atlit (Israel)	עתלית (ישראל)	2
Auckland (N.Z.)	אוקלנד (ניו זילנד)	1
Augsburg (Germany)	אוגסבורג (גרמניה)	1
Austin (Tex.)	אוסטין (טקסס)	1
Australia	אוסטרליה	3
Austria	אוסטריה	3
Auvers-sur-Oise (France)	אובר-סור-אואז (צרפת)	1
Avignon (France)	אויניון (צרפת)	1
Avihayil (Israel)	אביחיל (ישראל)	3
Aydın (Aydın İli, Turkey)	איידין (מחוז איידין, טורקיה)	1
Ayyelet Hashahar (Israel)	איילת השחר (ישראל)	5
Babruĭsk (Belarus)	בוברויסק (בלארוס)	4
Bacău (Romania)	בקאו (רומניה)	3
Bačko Petrovo Selo (Serbia)	באצ'קו פטרובו סלו (סרביה)	1
Bad Ems (Germany)	באד אמס (גרמניה)	1
Bad Godesberg (Bonn, Germany)	בד גודסברג (גרמניה)	1
Bad Kissingen (Germany)	באד קיסינגן (גרמניה)	2
Bad Nauheim (Germany)	באד נאוהיים (גרמניה)	1
Bad Reichenhall (Germany)	באד רייכנהאל (גרמניה)	1
Baden (Austria)	בדן (אוסטריה)	3
Baden-Baden (Germany)	בדן-בדן (גרמניה)	3
Baghdad (Iraq)	בגדאד (עיראק)	24
Baiersdorf (Mittelfrankenstadt, Germany)	באירסדורך (גרמניה)	1
Baja (Hungary)	ביאה (הונגריה)	1
Balassagyarmat (Hungary)	בלשג'רמט (הונגריה)	5
Balmazújváros (Hungary)	באלמזוייבארוש (הונגריה)	2
Baltimore (Md.)	בולטימור (מרילנד)	18
Bamberg (Germany)	במברג (גרמניה)	1
Banbury (Oxfordshire, England)	בנברי (אוקספורדשייר, אנגליה)	1
Banghāzī (Libya)	בנגאזי (לוב)	2
Bangkok (Thailand)	בנגקוק (תאילנד)	1
Bánovce nad Bebravou (Slovakia)	באנוביצה נאד ברבראבו (סלובקיה)	1
Banská Bystrica (Slovakia)	בנסקה ביסטריצה (סלובקיה)	2
Bar'am (Israel)	ברעם (ישראל)	1
Baranavichy (Belarus)	ברנוביץ' (בלארוס)	2
Baranowicze (Poland)	ברנוביץ (פולין)	1
Barbados	ברבדוס	1
Barcelona (Spain)	ברצלונה (ספרד)	6
Basel (Switzerland)	בזל (שווייץ)	7
Basel-Stadt (Switzerland)	בזל-שטאדט (שווייץ)	1
Bat Hefer (Israel)	בת חפר (ישראל)	1
Bat Yam (Israel)	בת ים (ישראל)	11
Bath (England)	באת' (אנגליה)	1
Bátorove Kosihy (Slovakia)	בטורקס (סלובקיה)	1
Bauska (Latvia)	באוסקה (לטביה)	3
Bavaria (Germany)	בוואריה (גרמניה)	2
Bay Shore (N.Y.)	ביי שור (ניו יורק)	1
Bayonne (France)	ביון (צרפת)	1
Bayreuth (Germany)	ביירוית (גרמניה)	2
Be'er Ya'akov (Israel)	באר יעקב (ישראל)	1
Beclean (Romania)	בקליאן (רומניה)	2
Bedford Hills (N.Y.)	בדפורד הילס (ניו יורק)	1
Bedfordshire (England)	בדפורדשייר (אנגליה)	1
Będzin (Poland)	בנדין (פולין)	4
Beersheba (Israel)	באר שבע (ישראל)	7
Beijing (China)	בייג'ינג (סין)	4
Beirut (Lebanon)	בירות (לבנון)	8
Békéscsaba (Hungary)	בקשצ'אבה (הונגריה)	1
Bel Air (Los Angeles, Calif.)	בל אייר (לוס אנג'לס, קליפורניה)	1
Belarus	בלארוס	3
Bełchatów (Poland)	בלכטוב (פולין)	1
Belgium	בלגיה	1
Belgrade (Serbia)	בלגרד (סרביה)	6
Belz (Ukraine)	בלז (אוקראינה)	2
Bender (Moldova)	בנדרי (מולדובה)	1
Bene Brak (Israel)	בני ברק (ישראל)	71
Berchtesgaden (Germany)	ברכטסגאדן (גרמניה)	1
Berdychiv (Ukraine)	ברדיצ'ב (אוקראינה)	9
Berettyóújfalu (Hungary)	ברטואויפלו (הונגריה)	1
Berez︠h︡any (Ukraine)	בז'ז'ני (אוקראינה)	6
Berezyne (Odesʹka oblastʹ, Ukraine)	ברזנה (מחוז אודסק, אוקראינה)	1
Bergama (Turkey)	פרגמון (טורקיה)	1
Bergen Belsen (Germany)	ברגן בלזן (גרמניה)	3
Berkeley (Calif.)	ברקלי (קליפורניה)	7
Berlin (Germany)	ברלין (גרמניה)	146
Bern (Switzerland)	ברן (שווייץ)	4
Bershadʹ (Ukraine)	ברשד (אוקראינה)	1
Bet Alfa (Israel)	בית אלפא (ישראל)	8
Bet Gamli'el (Israel)	בית גמליאל (ישראל)	1
Bet Hashitta (Israel)	בית השיטה (ישראל)	8
Bet Keshet (Israel)	בית קשת (ישראל)	4
Bet Nekofa (Israel)	בית נקופה (ישראל)	1
Bet Oren (Israel)	בית אורן (ישראל)	2
Bet Shemesh (Israel)	בית שמש (ישראל)	1
Bet Yehoshu'a (Israel)	בית יהושוע (ישראל)	1
Bet Yits'hak (Israel)	בית יצחק (ישראל)	1
Bet Zera (Israel)	בית זרע (ישראל)	1
Bethesda (Md.)	בתסדה (מרילנד)	1
Bethlehem (West Bank)	בית לחם (גדה מערבית)	1
Beuthen (Germany)	בויטן (גרמניה)	2
Beverly Hills (Calif.)	בוורלי הילס (קליפורניה)	7
Beʼerot Yitsḥaḳ (Israel)	בארות יצחק (ישראל)	1
Białobrzegi (Radom, Poland)	בילובז'יג (פולין)	1
Białystok (Poland)	ביאליסטוק (פולין)	51
Biebrich (Wiesbaden, Germany)	ביבריך (ויסבאדן, גרמניה)	2
Biel (Bern, Switzerland)	ביל (ברן, שווייץ)	1
Bielsk Podlaski (Poland)	בילסק (פולין)	1
Bielsko-Biała (Poland)	ביליץ בילה (פולין)	3
Bila T︠S︡erkva (Ukraine)	בילה צרקווה (אוקראינה)	1
Bilohirsʹk (Ukraine)	בילוהירסק (אוקראינה)	1
Bingen (Germany)	בינגן (גרמניה)	1
Bingen (Rhineland-Palatinate, Germany)	בינגן (ריינלנד-פאלץ, גרמניה)	1
Binyamina (Israel)	בנימינה (ישראל)	1
Birobidzhan (Russia)	בירוביג'אן (רוסיה)	1
Biržai (Lithuania)	בירזאי (ליטא)	2
Bishop's Stortford (England)	בישופס סטורטפורד (אנגליה)	1
Biskupice (Poland)	בישקופיץ (פולין)	1
Blackburn (England)	בלקבורן (אנגליה)	2
Blankenese (Hamburg, Germany)	בלנקנזה (המבורג, גרמניה)	1
Bloemfontein (South Africa)	בלומפונטיין (דרום אפריקה)	1
Bobowa (Poland)	בובוב (פולין)	1
Bochnia (Poland)	בוכניה (פולין)	1
Bockenheim (Frankfurt am Main, Germany)	בוקנהיים (פרנקפורט, גרמניה)	1
Bodenwerder (Germany)	באדענווערדער (גרמניה)	1
Bodrogkeresztúr (Hungary)	קרסטיר (הונגריה)	1
Bogotá (Colombia)	בוגוטה (קולומביה)	1
Bohemia (Czech Republic)	בוהמיה (צ'כיה)	1
Bohorodchany (Ukraine)	בוהורודצ'ני (אוקראינה)	3
Boise (Idaho)	בויזי (איידהו)	1
Bolekhiv (Ukraine)	בוליחוב (אוקראינה)	7
Bolhrad (Ukraine)	בולהרד (אוקראינה)	1
Bologna (Italy)	בולוניה (איטליה)	3
Bolzano (Italy : Province)	בולצנו (איטליה : מחוז)	1
Bonn (Germany)	בון (גרמניה)	6
Bonyhád (Hungary)	בוניהד (הונגריה)	8
Bordeaux (Aquitaine, France)	בורדו (צרפת)	1
Bordighera (Italy)	בורדיגרה (איטליה)	1
Borshchiv (Ternopilʹsʹka oblastʹ, Ukraine)	בורשניב (טרנופיל, אוקראינה)	3
Boryslav (Ukraine)	בוריסלב (אוקראינה)	3
Borzna (Ukraine)	בורזנה (אוקראינה)	1
Boskovice (Czech Republic)	בוסקוביץ (צ'כיה)	3
Boston (Mass.)	בוסטון (מסצ'וסטס)	29
Botosani (Romania)	בוטושן (רומניה)	5
Bougival (France)	בוגיבל (צרפת)	2
Boulogne-sur-Mer (France)	בולון-סור-מר (צרפת)	2
Bound Brook (N.J.)	באונד ברוק (ניו ג'רזי)	1
Bournemouth (England)	בורנמות (אנגליה)	2
Brahin (Belarus)	בראהין (בלארוס)	1
Brailiv (Ukraine)	ברהילוב (אוקראינה)	1
Brańsk (Poland)	ברינסק (פולין)	2
Braslaŭ (Belarus)	בראסלאו (בלארוס)	2
Bratislava (Slovakia)	ברטיסלבה (סלובקיה)	38
Braunschweig (Germany)	בראונשווייג (גרמניה)	3
Brazil	ברזיל	3
Bregenz (Austria)	ברגנץ (אוסטריה)	1
Breisach am Rhein (Germany)	ברייסך אם ריין (גרמניה)	1
Bremen (Germany)	ברמן (גרמניה)	2
Bridgeport (Conn.)	ברידג'פורט (קונטיקט)	1
Brighton (England)	ברייטון (אנגליה)	9
Brilon (Germany)	ברילון (גרמניה)	1
Bristol (England)	בריסטול (אנגליה)	1
Brody (Ukraine)	ברודי (אוקראינה)	54
Brok (Ostrołęka, Poland)	ברוק (אוסטרולקה, פולין)	1
Bronx (New York, N.Y.)	ברונקס (ניו יורק, ניו יורק)	6
Brookline (Mass.)	ברוקליין (מסצ'וסטס)	4
Brooklyn (New York, N.Y.)	ברוקלין (ניו יורק, נ.י.)	18
Brussels (Belgium)	בריסל (בלגיה)	11
Brzeg Dolny (Poland)	ברזג דולני (פולין)	1
Brześć Kujawski (Poland)	בז'שץ' קויאוסקי (פולין)	1
Brześć Litewski (Poland)	ברסט ליטובסק (פולין)	10
Brzesko (Poland)	בריגל בז'סקו (פולין)	2
Buchach (Ukraine)	בוצ'ץ' (אוקראינה)	10
Bucharest (Romania)	בוקרסט (רומניה)	25
Buda (Hungary)	בודה (הונגריה)	3
Budapest (Hungary)	בודפסט (הונגריה)	63
Buenos Aires (Argentina)	בואנוס איירס (ארגנטינה)	89
Buffalo (N.Y.)	באפלו (ניו יורק)	5
Buhusi (Romania)	בוחוש (רומניה)	1
Bukachivtsi (Ukraine)	בוקצ'ביץ (אוקראינה)	3
Bukhoro (Uzbekistan)	בוכרה (אוזבקיסטן)	1
Bukowsko (Poland)	בוקובסק (פולין)	1
Bulgaria	בולגריה	1
Burdujeni (Suceava, Romania)	בורדוזשן (סוצ'אבה, רומניה)	3
Burgenland (Austria)	בורגנלנד (אוסטריה)	2
Burgeta (Israel)	בורגתה (ישראל)	1
Burshtyn (Ukraine)	בורשטין (אוקראינה)	1
Bury St. Edmunds (England)	ברי סנט אדמונדס (אנגליה)	1
Busʹk (Ukraine)	בוסק (אוקראינה)	3
Bushtyna (Ukraine)	בושטינה (אוקראינה)	1
Bussum (Netherlands)	בוסום (הולנד)	1
Butrimonys (Lithuania)	בוטרימוניס (ליטא)	1
Byaroza (Belarus)	ברעזי (בלארוס)	1
Bychawa (Poland)	ביחוה (פולין)	1
Bytom (Poland)	ביטום (פולין)	1
Caen (France)	קן (צרפת)	1
Caesarea (Israel)	קיסריה (ישראל)	1
Cahors (France)	קהור (צרפת)	1
Cairo (Egypt)	קהיר (מצרים)	27
Calcutta (India)	כלכתה (הודו)	3
California	קליפורניה	13
Cambrai (France)	קמברה	1
Cambridge (England)	קמברידג' (אנגליה)	16
Cambridge (Mass.)	קמברידג' (מסצ'וסטס)	3
Camden (N.J.)	קמדן (ניו ג'רזי)	1
Cannes (France)	קאן (צרפת)	6
Cape Town (South Africa)	קייפטאון (דרום אפריקה)	5
Cardiff (Wales)	קארדיף (ויילס)	1
Carei (Romania)	קרולה (רומניה)	2
Casablanca (Morocco)	קזבלנקה (מרוקו)	3
Casale Monferrato (Italy)	קזאלה מונפראטו (איטליה)	4
Castellazzo Bormida (Italy)	קסטלצו בורמידה (איטליה)	1
Catalonia (Spain)	קטלוניה (ספרד)	1
Catskill Mountains (N.Y.)	הרי קטסקיל (ניו יורק)	1
Cayman Islands	איי קיימן	1
Cento (Italy)	צ'נטו (איטליה)	1
Certaldo (Italy)	סרטלדו (איטליה)	1
Chalkis (Extinct city)	כלקיס (עיר קדומה)	1
